,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
84,5,20,Dream Team,8.3,3640,9 Apr 2009,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.,7.2,,Paul Feig,B. J. Novak,1
85,5,21,Michael Scott Paper Company,8.7,4005,9 Apr 2009,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park.",7.94,,Gene Stupnitsky,Justin Spitzer,1
86,5,22,Heavy Competition,8.7,3763,16 Apr 2009,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy.",8.24,,Ken Whittingham,Ryan Koh,1
87,5,23,Broke,9.3,5074,23 Apr 2009,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to Michael, and is desperate to buy him out.",7.21,,Steve Carell,Charlie Grandy,1
88,5,24,Casual Friday,8.3,3605,30 Apr 2009,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far.",7.31,,Brent Forrester,Anthony Q. Farrell,1
89,5,25,Cafe Disco,8.8,4232,7 May 2009,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day.",7.71,,Randall Einhorn,Warren Lieberstein | Halsted Sullivan,1
90,5,26,Company Picnic,9.0,4310,14 May 2009,"Michael runs into Holly at the company picnic, and the two of them accidentally reveal that the Buffalo branch is closing during a comedy skit before corporate has made the announcement.",6.72,,Ken Kwapis,Jennifer Celotta | Paul Lieberstein,1
91,6,1,Gossip,8.8,4248,17 Sep 2009,"Michael regrets revealing that Stanley is having an affair, so he spreads a bunch of lies about everyone else to cover his tracks--except that one of the lies that he spread actually turns out to be true.",8.2,,Paul Lieberstein,Paul Lieberstein,1
92,6,2,The Meeting,8.1,3448,24 Sep 2009,"Michael sabotages--then promotes--Jim's efforts at getting a promotion, while Dwight and Toby try to prove that Darryl has submitted a fraudulent medical claim.",7.33,,Randall Einhorn,Aaron Shure,1
93,6,3,The Promotion,8.0,3437,1 Oct 2009,Jim discovers just how hard being the boss can be when David Wallace forces Michael and him to determine which employees will be getting a raise.,7.28,,Jennifer Celotta,Jennifer Celotta,1
94,6,4,Niagara: Part 1,9.4,6346,8 Oct 2009,"The Office travels to Niagara Falls to celebrate Jim and Pam's wedding under strict orders not to mention Pam's pregnancy. Michael, Dwight, and Andy all want to hook up with guests at the wedding and Michael and Dwight meet twins.",9.42,,Paul Feig,Greg Daniels | Mindy Kaling,1
95,6,5,Niagara: Part 2,9.5,5211,8 Oct 2009,"Pam is forced to deal with an embarrassing injury for Andy the night before her wedding, while Kevin deals with the loss of his dress shoes on the morning of the ceremony.",9.42,,Paul Feig,Greg Daniels | Mindy Kaling,1
